timestamp,room_it_kwh,irc_kwh,panel_kwh (cooling plant),final_it_kwh,facility_kwh_final,pue,,
2026-04-16 16:00:00,96.1,8,47.5,88.1,143.6,1.62996594778661,,
2026-04-16 16:30:00,96.9,10,58.9,86.9,155.8,1.79286536248562,,
2026-04-16 17:00:00,96.9,5,48.7,91.9,145.6,1.58433079434168,,
2026-04-16 17:30:00,97,11,46.6,86,143.6,1.66976744186047,,
2026-04-16 18:00:00,96.5,8,56,88.5,152.5,1.72316384180791,,
2026-04-16 18:30:00,97.8,8,51.7,89.8,149.5,1.66481069042316,,
2026-04-16 19:00:00,97.2,8,48.2,89.2,145.4,1.63004484304933,,
2026-04-16 19:30:00,96.5,9,51.9,87.5,148.4,1.696,,
2026-04-16 20:00:00,97,5,55.6,92,152.6,1.65869565217391,,
2026-04-16 20:30:00,97.1,11,48.5,86.1,145.6,1.69105691056911,,
2026-04-16 21:00:00,96.5,7,46.8,89.5,143.3,1.60111731843575,,
2026-04-16 21:30:00,96.6,9,59.3,87.6,155.9,1.7796803652968,,
2026-04-16 22:00:00,96.9,7,47,89.9,143.9,1.60066740823137,,
2026-04-16 22:30:00,96.6,0,46.4,96.6,143,1.48033126293996,,
